run_id,track,context,fold_id,tier_group,feature_name,mean_abs_shap,mean_signed_shap,rank,n_obs
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_is_national_holiday,0.004503513195738949,-0.002405861799628814,41,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_int_wind_x_season__winter,0.003909255629615334,-0.0007302136595545286,42,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_tier_is_rand,0.00321147642036083,0.0009469947906742116,43,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_parking_id__p_keerdok,0.0032114764203481127,0.0009469947906700918,44,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_is_other_day,0.002869867143320025,0.00015046320092501806,45,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_int_vacation_x_tier_centrum,0.002849487737601199,-0.002849487737601199,46,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_sun_duration_ratio,0.0028353007358017258,0.00037486821421797316,47,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_day_class_5__weekend_regular,0.002715334776589791,-0.0008951947639730046,48,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_int_wind_x_season__lente,0.0025707458673086487,0.00010217990797038459,49,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_int_temp_x_season__herfst,0.0024499756016100843,0.0004289065411996031,50,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_football_kickoff_hour_cos,0.0022429321232335427,-0.0005105056896629422,51,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_parking_id__p_kathedraal,0.0021438590578037706,-0.0021438590578037706,52,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_day_class_5__holiday,0.001916058224886602,0.0012404571513027663,53,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,t_day_class_5__school_vacation,0.0018848379695417883,-0.00015306734444808738,54,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_is_markt_day,0.0018406451659090356,-0.0001571565773848128,55,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_event_scale_is_large,0.0015043048973293442,-0.0002488353790226355,56,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,s_capacity_bucket__small,0.001317706446226471,-0.00010528261780456643,57,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_football_kickoff_hour_sin,0.0012654349038301767,-0.0006729638804335175,58,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_is_high_wind_speed,0.001118733029805247,-0.00012219399586174763,59,15000
P4_ridge_a1_0,policy,holdout,holdout,vesten_rand,e_has_football_kickoff,0.0010996464714341267,0.0002948795818774636,60,15000
