run_id,cv_mode,fold_id,track,variant,model_family,model_key,n_train,n_valid,mae,rmse,mape,mae_tier_centrum,mae_tier_vesten_rand,mae_event,mae_non_event,fit_status
P3_xgb_80_d4_lr006,fixed_export,cv_fold_1,policy,P3,xgboost,xgb_80_d4_lr006,61192,11529,0.1761332502124838,0.2179240186852414,154076.51705444165,0.1885850777958177,0.153226181192799,0.1778885379081728,0.1750899330342137,ok
P3_xgb_80_d4_lr006,fixed_export,cv_fold_2,policy,P3,xgboost,xgb_80_d4_lr006,82114,10725,0.2630526939876643,0.3156476999694483,556.4061415923925,0.2399241692273191,0.2821891936019488,0.2684392792437568,0.2595786769628377,ok
P3_xgb_80_d4_lr006,fixed_export,cv_fold_3,policy,P3,xgboost,xgb_80_d4_lr006,107789,22048,0.2276149249893008,0.2856782239339233,1198242.580509956,0.2971059400133694,0.1582246946135631,0.2341327242244048,0.2253246066923439,ok
P4_ridge_a1_0,fold_safe,cv_fold_1,policy,P4,ridge,ridge_a1_0,61192,11529,0.20981969235623,0.2685319343132365,102148.53285947692,0.2211150720857663,0.1890400886124106,0.2136972974555247,0.2075149009419348,ok
P4_ridge_a1_0,fold_safe,cv_fold_2,policy,P4,ridge,ridge_a1_0,82114,10725,0.2372873712650199,0.2856308191607098,499.4826882890098,0.2062324159403034,0.2629821852123403,0.2471424282136656,0.2309314641378642,ok
P4_ridge_a1_0,fold_safe,cv_fold_3,policy,P4,ridge,ridge_a1_0,107789,22048,0.2187078024166493,0.2726900087958814,788678.9970039726,0.2786559727547983,0.1588465764879827,0.2186989399220846,0.2187109166478071,ok
P4_ridge_a1_0,fixed_export,cv_fold_1,policy,P4,ridge,ridge_a1_0,61192,11529,0.2098318939729467,0.2684940927964238,101966.20197684893,0.2210729745027103,0.189152182032847,0.2137167945407212,0.2075227662395357,ok
P4_ridge_a1_0,fixed_export,cv_fold_2,policy,P4,ridge,ridge_a1_0,82114,10725,0.2374168040148792,0.2858036608284942,501.01359477471135,0.206134834836789,0.2632994488144711,0.2473156683447437,0.2310326438144066,ok
P4_ridge_a1_0,fixed_export,cv_fold_3,policy,P4,ridge,ridge_a1_0,107789,22048,0.2186978003224209,0.2726774685763052,788743.9927049957,0.2786435414894104,0.1588390000418231,0.2186949241342517,0.2186988109989011,ok
P4_rf_90_d12_l2,fold_safe,cv_fold_1,policy,P4,random_forest,rf_90_d12_l2,61192,11529,0.1377554768128059,0.1763410611117051,149727.00013705014,0.1151994084618729,0.1792508646239189,0.1359342949826989,0.1388379604949799,ok
P4_rf_90_d12_l2,fold_safe,cv_fold_2,policy,P4,random_forest,rf_90_d12_l2,82114,10725,0.3225003309130629,0.4184228383797571,666.1033461333324,0.3280010302198458,0.317949062241443,0.3203003644308685,0.3239191743268095,ok
P4_rf_90_d12_l2,fold_safe,cv_fold_3,policy,P4,random_forest,rf_90_d12_l2,107789,22048,0.3216888858614747,0.4046640493916222,1535575.827660649,0.4315493713439619,0.2119877339329868,0.3326241587638806,0.3178462919571234,ok
P4_rf_90_d12_l2,fixed_export,cv_fold_1,policy,P4,random_forest,rf_90_d12_l2,61192,11529,0.137892630344409,0.176177743289495,148240.60361567902,0.1151346414860039,0.1797594822615096,0.1363195707229001,0.1388276338367677,ok
P4_rf_90_d12_l2,fixed_export,cv_fold_2,policy,P4,random_forest,rf_90_d12_l2,82114,10725,0.3234885252120888,0.4189036726745746,671.7463120217212,0.3279723065432684,0.3197786526368276,0.322165047317745,0.3243420872589777,ok
P4_rf_90_d12_l2,fixed_export,cv_fold_3,policy,P4,random_forest,rf_90_d12_l2,107789,22048,0.3217587160127805,0.4046532872443754,1535659.4278910516,0.4314284648259652,0.2122480241231826,0.3327019121097777,0.3179133379420428,ok
P4_xgb_80_d4_lr006,fold_safe,cv_fold_1,policy,P4,xgboost,xgb_80_d4_lr006,61192,11529,0.1816914578733732,0.2240925498060084,157121.08199158168,0.1956069368014838,0.1560917750866594,0.1870499119319051,0.1785064716275469,ok
P4_xgb_80_d4_lr006,fold_safe,cv_fold_2,policy,P4,xgboost,xgb_80_d4_lr006,82114,10725,0.2636310413729908,0.3174146486337774,559.4041394435517,0.2354984246091329,0.2869079176730921,0.2706032006152742,0.2591344264015489,ok
P4_xgb_80_d4_lr006,fold_safe,cv_fold_3,policy,P4,xgboost,xgb_80_d4_lr006,107789,22048,0.2273709821484763,0.2856567008385524,1082727.8570823865,0.297457963777906,0.1573856495134331,0.2355831665633937,0.2244852663500871,ok
